index,SATechnique,propDepth,propMethod,threshold,heuristic,dailyAccs
NASDAQ,VADER1,0,1,0.0,1,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,1,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.4,2,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,2,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.4,2,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.4,3,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,3,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.4,3,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.4,4,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,4,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.4,4,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.4,5,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,5,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.4,5,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.4,6,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,6,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.4,6,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.4,7,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.4,7,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.4,7,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,1,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,1,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,1,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,2,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,2,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,2,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,3,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,3,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,3,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,4,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,4,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,4,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,5,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,5,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,5,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,6,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,6,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,6,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.5,7,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.5,7,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.5,7,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,1,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,1,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,1,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,2,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,2,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,2,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,3,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,3,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,3,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,4,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,4,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,4,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,5,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,5,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,5,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,6,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,6,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,6,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.6,7,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.6,7,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.6,7,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,1,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,1,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,1,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,2,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,2,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,2,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,3,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,3,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,3,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,4,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,4,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,4,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,5,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,5,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,5,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,6,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,6,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,6,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.7,7,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.7,7,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.7,7,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.8,1,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.8,1,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
NASDAQ,VADER1,0,1,0.8,1,0.1,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.36363636363636365, '2018-04-06': 0.5882352941176471, '2018-04-07': 0.5882352941176471, '2018-04-08': 0.5882352941176471, '2018-04-09': 0.6288659793814433}"
NASDAQ,VADER1,0,1,0.8,2,0,"{'2018-04-02': 0.25, '2018-04-03': 0.4, '2018-04-04': 0.68, '2018-04-05': 0.6363636363636364, '2018-04-06': 0.4411764705882353, '2018-04-07': 0.4411764705882353, '2018-04-08': 0.4411764705882353, '2018-04-09': 0.4329896907216495}"
NASDAQ,VADER1,0,1,0.8,2,0.05,"{'2018-04-02': 1.0, '2018-04-03': 0.7, '2018-04-04': 0.28, '2018-04-05': 0.3409090909090909, '2018-04-06': 0.5735294117647058, '2018-04-07': 0.5735294117647058, '2018-04-08': 0.5735294117647058, '2018-04-09': 0.6082474226804123}"
